,Country Name,Indicator Name_x,1972_x,1973_x,1974_x,1975_x,1976_x,1977_x,1978_x,1979_x,1980_x,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,Indicator Name_y,1972_y,1973_y,1974_y,1975_y,1976_y,1977_y,1978_y,1979_y,1980_y,1981_y,1982_y,1983_y,1984_y,1985_y,1986_y,1987_y,1988_y,1989_y,1990_y,1991_y,1992_y,1993_y,1994_y,1995_y,1996_y,1997_y,1998_y,1999_y,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,"('Value', 1972)","('Value', 1973)","('Value', 1974)","('Value', 1975)","('Value', 1976)","('Value', 1977)","('Value', 1978)","('Value', 1979)","('Value', 1980)","('Value', 1981)","('Value', 1982)","('Value', 1983)","('Value', 1984)","('Value', 1985)","('Value', 1986)","('Value', 1987)","('Value', 1988)","('Value', 1989)","('Value', 1990)","('Value', 1991)","('Value', 1992)","('Value', 1993)","('Value', 1994)","('Value', 1995)","('Value', 1996)","('Value', 1997)","('Value', 1998)","('Value', 1999)","('Value', 2000)","('Value', 2001)","('Value', 2002)","('Value', 2003)","('Value', 2004)","('Value', 2005)","('Value', 2006)","('Value', 2007)","('Value', 2008)","('Value', 2009)","('Value', 2010)","('Value', 2011)","('Value', 2012)","('Value', 2013)","('AverageTemperature', 'mean', 1971)","('AverageTemperature', 'mean', 1972)","('AverageTemperature', 'mean', 1973)","('AverageTemperature', 'mean', 1974)","('AverageTemperature', 'mean', 1975)","('AverageTemperature', 'mean', 1976)","('AverageTemperature', 'mean', 1977)","('AverageTemperature', 'mean', 1978)","('AverageTemperature', 'mean', 1979)","('AverageTemperature', 'mean', 1980)","('AverageTemperature', 'mean', 1981)","('AverageTemperature', 'mean', 1982)","('AverageTemperature', 'mean', 1983)","('AverageTemperature', 'mean', 1984)","('AverageTemperature', 'mean', 1985)","('AverageTemperature', 'mean', 1986)","('AverageTemperature', 'mean', 1987)","('AverageTemperature', 'mean', 1988)","('AverageTemperature', 'mean', 1989)","('AverageTemperature', 'mean', 1990)","('AverageTemperature', 'mean', 1991)","('AverageTemperature', 'mean', 1992)","('AverageTemperature', 'mean', 1993)","('AverageTemperature', 'mean', 1994)","('AverageTemperature', 'mean', 1995)","('AverageTemperature', 'mean', 1996)","('AverageTemperature', 'mean', 1997)","('AverageTemperature', 'mean', 1998)","('AverageTemperature', 'mean', 1999)","('AverageTemperature', 'mean', 2000)","('AverageTemperature', 'mean', 2001)","('AverageTemperature', 'mean', 2002)","('AverageTemperature', 'mean', 2003)","('AverageTemperature', 'mean', 2004)","('AverageTemperature', 'mean', 2005)","('AverageTemperature', 'mean', 2006)","('AverageTemperature', 'mean', 2007)","('AverageTemperature', 'mean', 2008)","('AverageTemperature', 'mean', 2009)","('AverageTemperature', 'mean', 2010)","('AverageTemperature', 'mean', 2011)","('AverageTemperature', 'mean', 2012)","('AverageTemperature', 'mean', 2013)"
0,Angola,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",410.6709098,-331.55193360000004,-536.0659441,-159.85105900000002,1990.5578289999999,-1459.180233,-2181.4706079999996,-2191.464963,-2269.064511,-1652.951637,-1604.0378759999999,-1832.51067,-1991.25859,-2078.534272,-2161.559957,-2394.978779,-2326.8353230000002,-2380.311671,624.4578115,324.502039,34.91162489,200.96346530000002,125.275373,227.4254758,266.69171209999996,265.8983082,817.6772947000001,693.2379956,865.9201011,873.2810912999998,872.8745542000001,829.8091747999999,1688.998684,1614.266421,603.5270117,612.9086982000001,-1816.567845,-3650.637936,-5363.947897,-4727.137272,-3705.3494960000003,Total greenhouse gas emissions (kt of CO2 equivalent),42205.6507,44252.66912,40179.2335,44429.30003,38448.02409,43563.41218,46235.11458,56644.651970000006,48001.866160000005,41894.79496,45243.80208,44852.06032,35878.30078,36714.19083,35982.41365,46721.25774,35736.7658,39342.98618,50806.542689999995,43761.08127,64997.83986,39775.107189999995,44657.24335,48230.29864,47136.215789999995,33091.22462,35275.1251,36119.4252,34780.6811,34371.8411,34490.369,35858.015,36860.2334,35855.7384,36375.822,36690.534,37396.294,38309.465130000004,40029.3921,40878.65196,41657.16485,6540.0,5850.0,4995.0,11462.0,11417.0,5000.0,5455.0,6000.0,7500.0,8571.0,8571.0,8571.0,8571.0,8571.0,8571.0,8889.0,9091.0,8889.0,10188.0,8897.0,8571.0,9756.0,9612.0,9873.0,9873.0,9873.0,9706.0,9689.0,9680.0,9429.0,9694.0,9857.0,9869.0,9909.0,9950.0,9990.0,10031.0,10071.0,10112.0,10152.0,10192.0,10233.0,21.837,22.011000000000006,22.349666666666668,21.623499999999996,21.738916666666668,21.44741666666667,21.95075,21.817000000000004,22.144750000000002,22.077583333333337,22.027916666666666,21.819999999999997,22.367250000000002,22.356166666666667,22.021833333333337,22.036249999999995,22.749916666666664,22.412333333333336,22.12216666666667,22.46641666666667,22.095416666666665,22.498583333333332,22.291,22.189416666666663,22.936166666666665,22.479249999999997,22.317166666666665,23.120166666666666,22.382083333333338,22.360666666666663,22.502916666666668,22.9255,23.06658333333333,22.572833333333335,22.96608333333333,21.947083333333335,22.42708333333334,22.287333333333333,22.3165,22.6815,22.029666666666667,22.12333333333333,22.507875000000002
1,Albania,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",81.99968994,110.9946045,141.92254880000002,169.38098630000002,207.0886768,237.31301269999997,257.40202880000004,297.1585522,327.69539310000005,348.85542480000004,366.3387964,414.07034419999997,449.54078610000005,463.8016772,488.86139160000005,239.3414258,559.9126562000001,457.04274169999997,485.666467,547.3045682999999,625.8320258,611.2931859,627.9275061000001,619.9743158,627.3437482,624.9905927,150.50691469999998,176.0340351,1377.706036,193.0751572,284.0118298,205.37370369999996,-468.777323,663.9293741,367.3075873,2093.213176,339.07875789999997,749.5053122,720.1875342999999,633.3771719,900.0224291000001,Total greenhouse gas emissions (kt of CO2 equivalent),7613.2661,7348.4921,7632.6643,7873.036999999999,8470.9784,8948.9809,9996.0562,11248.3583,11433.5842,10520.3625,10730.5261,11567.5737,12215.2375,11821.5831,12079.105,12175.4832,12603.8867,12552.7369,11112.72956,8273.6324,6227.1532,6067.1799,6793.7963,6421.5713,6187.3841,5500.607,5246.1311,6493.4872,8389.2767,6820.6244,7503.059759999999,7834.0157,7401.10155,8308.3856,8027.14955,9879.3935,8136.785,8108.812387000001,8506.996034,8712.296365,8898.640911,7368.0,8287.0,7263.0,7000.0,5417.0,5417.0,6364.0,9500.0,8780.0,8271.0,8373.0,8373.0,9048.0,8696.0,8000.0,7716.0,4516.0,7037.0,5875.0,6364.0,9727.0,10362.0,6002.0,9294.0,9423.0,10437.0,10474.0,10896.0,10877.0,8780.0,11304.0,8624.0,11053.0,12667.0,11111.0,7500.0,11818.0,13333.0,14167.0,16102.0,15385.0,17059.0,12.534416666666667,12.60825,12.48666666666667,12.559833333333332,12.56841666666667,12.03625,13.22325,12.263583333333335,12.989166666666668,12.162083333333335,12.578666666666669,13.01525,12.510916666666667,12.640749999999999,12.948166666666667,13.056416666666665,12.996583333333332,13.044083333333335,12.803833333333335,13.46866666666667,12.338833333333334,13.084666666666665,13.122583333333337,14.09966666666667,12.782083333333334,12.7365,12.900916666666667,13.311250000000003,13.65375,13.746583333333335,13.690416666666666,13.559916666666668,13.62658333333333,13.258166666666666,12.747083333333334,12.976916666666668,13.890500000000001,13.955166666666665,13.84425,13.775416666666667,13.443250000000004,13.76825,14.993875000000003
2,United Arab Emirates,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",2413.8551899999998,2438.8957800000003,2475.737968,2401.445393,2405.77326,2315.161359,2302.332089,2330.692729,2351.945963,2170.719946,2117.41881,2226.685977,1947.7445280000002,1564.832141,1345.033267,-2870.77692,1156.390942,914.1104065,1312.181738,-97.55766121,404.6307203,-228.41938480000002,-1081.491353,-1450.570708,-2154.776804,-2185.256453,-2549.219861,-2592.489661,4.065466309,-81.42796631,113.1268997,146.9400177,354.3073425,213.76809690000002,412.69778439999993,5477.98259,-3384.513794,-8246.026868,-5997.487247,-5645.832835,-10935.14254,Total greenhouse gas emissions (kt of CO2 equivalent),44905.46275,56875.507820000006,57411.52655,57798.60342000001,70352.6192,69646.4002,78630.0426,57226.4289,60172.9218,53924.8253,52758.6888,50999.3789,66620.7794,67746.709,64880.31,62290.0822,64750.9019,71801.913,72498.5763,80008.30573,78759.69917,81325.7913,88014.56242999999,93904.01287,103034.6521,101901.3844,104993.2009,107207.9329,115420.5144,115018.8197,126800.2057,134091.6856,139999.4635,143367.6627,151837.32,167986.4324,181388.5363,182422.1692,193127.1576,199342.5226,204888.71899999998,100000.0,100000.0,100000.0,100000.0,100000.0,103385.0,119185.0,103214.0,110157.0,121778.0,75738.0,118000.0,80917.0,93333.0,88235.0,86667.0,86613.0,77692.0,101829.0,101667.0,99032.0,98361.0,97049.0,97018.0,98871.0,101833.0,100943.0,125556.0,126923.0,129388.0,132878.0,137179.0,140690.0,144714.0,150000.0,150000.0,150222.0,150000.0,149677.0,129091.0,127453.0,142027.0,27.622750000000007,27.42266666666666,27.674583333333334,27.695500000000006,27.606250000000003,27.57116666666667,28.56891666666667,28.069833333333335,28.100166666666667,28.301083333333334,28.13491666666667,27.327416666666675,27.369749999999996,27.399833333333333,27.72375,27.867333333333335,28.094333333333335,28.140249999999998,27.585250000000002,28.26008333333333,27.697083333333335,27.28408333333333,28.070416666666674,28.39741666666667,27.986333333333334,28.319250000000007,28.12066666666667,29.29258333333333,29.298416666666668,28.877750000000002,29.009583333333328,29.058000000000007,29.228333333333335,29.104,28.992916666666673,28.984083333333334,29.15608333333333,28.685000000000006,29.127666666666673,29.671333333333333,29.205416666666668,29.42583333333333,29.370625000000004
3,Argentina,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",14205.925169999999,10569.76084,11693.03439,14271.12398,17906.51684,12852.30469,15510.3002,17601.01197,19326.46795,16800.2565,17864.03225,18212.1174,14073.78563,14934.18084,16058.06328,16165.09035,16691.83924,17256.47193,19713.12355,18098.22365,17369.25977,20655.08581,9111.498281,11626.59715,12190.27046,18816.2293,28348.3,47755.25957,46530.49727,49479.53828,44855.19414,58388.32246,67377.54629,50400.76855,54353.811910000004,58631.14922000001,71820.98125,56140.2047,38735.2331,41370.165960000006,48642.335719999995,Total greenhouse gas emissions (kt of CO2 equivalent),223912.2788,226956.0333,229456.38,233416.77,247051.66,247370.86,248238.32,255920.06,253870.99,245776.76,243613.02,248681.79,243111.57,238145.75,250785.28,256953.81,266245.22,265608.3,266555.03,267188.7341,272139.1851,276522.7527,270948.3575,275096.4092,288246.2679,299708.76,311514.7,333886.59,331450.87,326483.81,311051.93,344797.06,369944.11,358385.64,373600.56,384547.75,411503.63,373409.0656,364684.2538,372873.1438,380295.3204,10760.0,9569.0,11715.0,11152.0,11975.0,12000.0,10161.0,9333.0,11099.0,10944.0,12441.0,12417.0,12531.0,11899.0,13838.0,13249.0,12942.0,15504.0,15396.0,16369.0,15410.0,16383.0,16598.0,15855.0,17545.0,17682.0,15131.0,16627.0,19209.0,17264.0,20070.0,17631.0,20271.0,19366.0,18445.0,17435.0,19316.0,18181.0,19634.0,17862.0,18212.0,17792.0,14.651166666666668,14.81841666666667,14.597916666666668,14.637666666666666,14.939666666666668,14.440249999999999,15.351249999999999,15.186083333333334,14.974666666666664,15.226916666666666,15.167416666666668,15.256750000000002,14.954333333333333,14.400833333333333,15.326250000000002,15.33475,15.1875,14.836333333333334,15.543,15.155083333333332,15.097583333333338,14.739166666666664,15.098666666666668,15.578666666666669,15.149833333333333,15.211583333333332,15.620666666666667,15.261750000000001,15.064916666666663,14.7505,15.370416666666666,15.183750000000003,15.518333333333336,15.442166666666667,15.112833333333334,15.561083333333329,14.628083333333336,15.475999999999999,15.534416666666667,15.078833333333336,15.339666666666668,15.688999999999998,14.457124999999998
4,Armenia,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-6922.578254000001,-7428.708301000001,-7948.660286,-5769.096841,-5967.7383979999995,-6082.3842460000005,-6194.8803100000005,-6301.696655,-6375.177893,-6201.0647579999995,-6032.632947,-6026.813708,-6106.151489,-6113.452063000001,-6033.573694,-6326.486986999999,-6023.259656,-5963.706348,463.1375215,466.72189110000005,377.37112210000004,344.34280099999995,315.2231891,312.6644756,384.0270394,315.3199489,264.5063391,233.78253089999998,289.7622903,277.6621733,290.9910818,328.8514187,492.85305470000003,425.05232209999997,559.8451084,383.053829,2822.313089,2598.419264,2957.12365,3323.652933,3154.9967469999997,Total greenhouse gas emissions (kt of CO2 equivalent),6750.8237,7371.7577,7983.8753,11627.038,11929.3886,12413.3746,12915.3444,13468.8879,14508.3336,15064.5702,15764.9062,15928.7094,15993.2273,16261.8193,16485.7384,16465.0412,17613.5979,17459.8322,24729.9166,25425.6997,14512.5941,8362.9081,6107.5421,6710.3697,5992.235,6719.5874,6737.0419999999995,6389.0077,6867.7102,6896.4518,6460.2393,6973.88104,7633.471,8401.8162,8743.5088,9323.71758,12469.983,11235.08927,11393.03935,12417.73612,12319.38961,,,,,,,,,,,,,,,,,,,,,23224.0,23669.0,25000.0,20000.0,12105.0,11905.0,20000.0,22622.0,18105.0,23355.0,30494.0,22890.0,21917.0,22905.0,21375.0,22712.0,31647.0,35515.0,32998.0,38860.0,27241.0,30620.0,9.105416666666667,7.789166666666667,8.207166666666666,8.314333333333334,8.993,8.345083333333333,8.692083333333334,9.047666666666666,10.146416666666669,9.358583333333334,9.805416666666666,8.274333333333335,9.000583333333333,9.067750000000002,9.174750000000001,9.306833333333334,8.996666666666668,8.626083333333334,9.785833333333331,9.258083333333333,9.372583333333333,7.614666666666667,7.769666666666667,9.02125,9.892166666666668,9.819166666666666,9.246333333333334,10.448416666666667,10.331000000000001,9.918166666666668,10.443416666666668,9.604999999999999,9.423083333333333,9.720166666666666,9.735416666666667,10.053500000000001,9.53525,9.706750000000001,9.842083333333333,11.509500000000003,9.136000000000001,10.35075,11.34375
5,American Samoa,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-3.33e-16,2.22e-16,-5.549999999999999e-16,7.77e-16,0.0,-4.44e-16,-8.88e-16,-4.44e-16,8.88e-16,2.2199999999999998e-15,1.55e-15,-7.77e-16,-6.66e-16,4.44e-16,1.11e-16,1.3300000000000001e-15,0.0,6.66e-16,1.3300000000000001e-15,8.88e-16,-2.6600000000000002e-15,-7.77e-16,3.33e-16,1.11e-16,1.55e-15,1.78e-15,2.22e-16,-1.78e-15,3.55e-15,0.0,0.0,0.0,0.0,-3.55e-15,0.0,0.0,3.55e-15,0.0,3.55e-15,-3.55e-15,7.109999999999999e-15,Total greenhouse gas emissions (kt of CO2 equivalent),13.448115,13.675329399999999,13.908834699999998,14.192873,14.383522199999998,14.649803099999998,14.753762400000001,14.9500365,15.4709087,16.5597081,16.0547171,16.7070476,17.3836372,18.026408899999996,18.6707899,19.3524242,20.0081174,20.7495349,20.381378299999998,20.9670057,21.510444500000002,21.998890300000003,22.4541277,22.8843444,23.263078,23.615333399999997,23.929042199999998,31.135678000000002,47.656033,50.883203,51.348209999999995,51.838339000000005,52.320384999999995,52.801179000000005,53.302040000000005,53.913982999999995,54.616323,54.98934941,56.6374866,57.74350928,58.76551929,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.40225,26.81233333333334,27.13825,26.59125,26.773166666666665,26.721083333333336,26.786833333333337,26.684,26.891333333333336,26.990750000000002,26.745499999999996,26.90275,26.92866666666666,26.879499999999997,26.949916666666667,26.980333333333334,26.898750000000003,27.08941666666667,26.75266666666667,27.15625,27.171166666666675,27.072000000000003,26.81641666666667,26.986333333333324,27.26866666666667,27.11266666666667,26.95575,27.424833333333336,27.067166666666665,27.21983333333333,27.22758333333334,27.53791666666666,27.26483333333333,27.281166666666667,27.373500000000003,27.08125,27.452416666666664,26.995083333333337,27.034249999999997,27.453416666666666,27.009500000000003,27.201416666666663,27.51725
6,Australia,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",20480.07334,10112.63191,13474.218519999999,18236.84287,28145.405489999997,28655.86546,18386.20463,29319.41095,33960.198469999996,17566.611969999998,29812.33263,18980.26206,21024.22162,36588.76408,27892.564410000003,9421.270891,20981.74076,23024.1855,28036.73165,32592.2623,27475.132,23301.7963,34771.88063,17753.03845,23491.53772,416602.5195,399200.2617,647291.291,520957.4473,654627.6309,531906.0898,439154.3438,542642.1855,314414.4609,536613.8945,425981.9629,283596.3613,482060.3353,189051.6916,181845.0876,164076.9229,Total greenhouse gas emissions (kt of CO2 equivalent),355430.771,333243.563,355842.865,377568.654,407572.606,414927.11299999995,377956.13399999996,412123.02200000006,433837.43799999997,387882.439,428739.96200000006,386673.55799999996,398135.519,456717.644,434735.105,412842.80299999996,434706.164,460970.008,482298.26200000005,499346.73,486991.982,479463.744,522429.54,489294.14700000006,508882.826,921012.05,920773.48,1190138.38,1081244.41,1241515.99,1117450.02,1023667.58,1144343.87,909262.03,1119632.1,1065623.87,892629.27,1105167.236,782102.6922,785795.15,761686.2739,16086.0,17670.0,17649.0,16719.0,16226.0,17142.0,17641.0,18604.0,20057.0,20450.0,19965.0,20093.0,22183.0,23008.0,22969.0,23909.0,24966.0,24879.0,24292.0,25732.0,24346.0,25270.0,27740.0,23361.0,27954.0,27025.0,29172.0,25179.0,24370.0,30000.0,30000.0,28018.0,24622.0,25441.0,27586.0,27468.0,27209.0,27117.0,27179.0,27242.0,27304.0,27366.0,21.65433333333333,22.012083333333333,22.41275,21.238083333333332,21.692666666666668,21.193416666666668,21.892500000000002,21.605166666666666,22.252333333333336,22.586166666666667,22.164083333333334,21.910500000000003,22.261083333333332,21.516916666666663,22.043416666666662,22.09325,22.07241666666667,22.63008333333333,21.862833333333338,22.35575,22.48741666666667,21.932583333333337,22.160166666666665,22.03025,21.955166666666667,22.325333333333333,22.086000000000002,22.664833333333334,22.0645,21.709666666666667,21.79275,22.46083333333333,22.44033333333333,22.286916666666666,22.896833333333333,22.264416666666666,22.48675,22.225916666666667,22.690583333333333,22.078166666666664,21.767,22.0245,22.142874999999997
7,Austria,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",1091.845859,1184.457363,1036.3218550000001,1097.459336,1133.055449,1202.178359,1303.891816,1377.231191,1362.786797,1380.055859,1330.763066,1420.485547,1836.066406,1895.026953,1959.251367,1463.340625,2279.431543,2383.703711,3282.750977,2867.760254,2710.005469,2610.069727,2736.9363280000002,2773.808594,3501.287988,3284.090039,3659.156836,3621.490723,2054.8511719999997,1228.379533,1192.552229,1211.115608,4384.519518,4668.976053,5516.694629,5404.124315999999,6010.321365,8358.350859999999,6919.826014,6014.721565,5304.626913,Total greenhouse gas emissions (kt of CO2 equivalent),73531.496,77365.32400000001,75065.759,72742.055,78085.025,75681.16900000001,77922.796,80645.173,78845.291,75501.606,73093.723,73160.152,75543.383,76926.875,75473.36200000001,75190.94900000001,75021.98,74506.933,79836.95599999999,83261.989,79225.277,79387.983,79755.728,82480.629,85648.272,84731.32800000001,85728.612,83880.53,82686.74799999999,85851.61172999999,87386.68817000001,92659.8411,96330.90703,97552.85369,95636.729,93276.758,94608.82183,89046.75502000001,94172.35094,92315.0526,90460.21029,12847.0,25042.0,22351.0,16414.0,24873.0,25000.0,14394.0,13062.0,16705.0,19083.0,17542.0,18750.0,18202.0,17280.0,17529.0,15795.0,17683.0,15781.0,17787.0,14815.0,16327.0,20154.0,18579.0,17891.0,19071.0,22929.0,22946.0,20674.0,28987.0,24709.0,28550.0,28621.0,23400.0,25204.0,15510.0,21053.0,,21202.0,,20236.0,20044.0,19723.0,6.449333333333333,6.249833333333332,6.2135,6.891416666666665,6.898000000000001,6.416083333333333,6.916,5.786833333333333,6.404,5.633583333333334,6.503583333333332,6.918583333333333,7.187083333333333,6.061833333333333,5.923000000000001,6.316916666666667,6.1695,7.082166666666667,7.372416666666666,7.344,6.357916666666667,7.615583333333334,6.858666666666665,8.164916666666667,6.846499999999999,5.863250000000001,7.025083333333335,7.222750000000001,7.234249999999999,8.084916666666668,7.1889166666666675,7.91525,7.509333333333333,6.906083333333332,6.609500000000001,7.277583333333335,7.976500000000001,7.801916666666668,7.616,6.6490833333333335,7.855583333333332,7.611333333333334,8.055125
8,Azerbaijan,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-15049.068519999999,-15631.05724,-16211.341919999999,-13216.26913,-14138.4328,-14930.46935,-15752.46561,-16386.99115,-17059.79462,-14747.884059999998,-14913.89792,-15447.98115,-16318.58691,-16279.46616,-18170.73569,-20652.62349,-19615.18727,-20384.60674,10801.05991,13368.36334,,3839.657157,4310.1939409999995,-356.66454960000004,1535.971044,1505.653575,3553.716114,2495.5308579999996,2810.22442,2529.354467,1168.234063,1881.636187,2754.7860739999996,2701.076029,2243.869793,-89.44503320000001,3551.57064,3328.114282,5143.545716,4360.6119100000005,4671.884255,Total greenhouse gas emissions (kt of CO2 equivalent),28191.2009,30859.7489,33572.7647,41477.2724,42787.0728,44512.8221,46342.496,48375.5232,51110.8965,55448.8495,56895.2758,58641.2552,59848.2533,61419.2836,62652.0812,62972.2961,65201.0556,64809.477,78096.61988,78972.5094,,52463.9724,48457.562999999995,42526.7923,38971.0609,37665.0413,39953.3309,40457.6469,42646.5596,41456.1124,40298.546,44116.8124,45005.7333,47617.1667,48492.2848,45144.106,53832.8169,49623.17787,50724.569639999994,53982.83251,56537.08177999999,,,,,,,,,,,,,,,,,,,,,32348.0,28195.0,19623.0,14652.0,14064.0,19085.0,17762.0,19389.0,21106.0,20258.0,20940.0,22363.0,24606.0,25665.0,26317.0,22485.0,23311.0,21742.0,24004.0,24927.0,27924.0,28412.0,11.988583333333333,10.639083333333334,11.07725,11.080916666666667,12.009833333333333,10.942,11.327750000000002,11.5005,12.488749999999998,11.801,12.390666666666668,10.934833333333332,11.855333333333334,11.346083333333333,11.611083333333331,11.872250000000003,11.51975,11.59025,12.445083333333335,11.992000000000003,11.956000000000001,10.721333333333334,10.526083333333334,11.472916666666668,12.731583333333333,12.202250000000001,11.894416666666666,12.95875,12.851750000000003,12.632,13.09725,12.432250000000002,11.984749999999998,12.6195,12.687249999999999,12.71225,12.51483333333333,12.365499999999999,12.611666666666665,13.962666666666665,11.808666666666666,13.08675,14.173875
9,Burundi,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-132.0965747,-123.3101465,-123.890274,-138.8503111,-111.943599,-119.87337079999999,-116.9338659,-143.2232742,-142.73544640000003,-124.8758067,-152.0524132,-123.97747460000001,-94.17082465,-100.509874,-92.10690576,-159.1823125,-106.3503156,-104.8113643,-13.34953556,-50.99146142,-80.61377539,-54.90927364,-127.38391829999999,-136.8255566,-114.01202340000002,-198.8003409,2983.7560329999997,91.74012186,782.8540501,28.31921486,1617.482561,1745.895348,1742.637971,1620.528674,1795.751366,1578.34572,1692.823995,1772.812402,1684.562548,1710.1907440000002,1737.9123969999998,Total greenhouse gas emissions (kt of CO2 equivalent),2278.5152,2346.3096,2346.4721,2443.1382,2459.1071,2475.9237,2496.7942,2569.69,2390.7396,2205.1394,2230.5549,2275.1359,2323.6104,2325.8372,2496.857,2489.3611,2648.2604,2667.09,2798.9396,2883.2595,2922.8265,3021.6248,2976.8045,2998.9438,3046.7436,3059.7969,6229.0728,2767.7285,3398.8732,3390.8413,5029.5112,5258.7489,5370.4398,5302.3078,5553.3479,5477.675,5724.9553,5925.876687,6040.982370000001,6151.995536,6254.371024,6667.0,9353.0,9412.0,9412.0,9412.0,9412.0,10000.0,10000.0,10303.0,10303.0,10303.0,10294.0,10000.0,10286.0,10571.0,10000.0,10000.0,10000.0,9463.0,8210.0,8326.0,7424.0,6800.0,8511.0,8511.0,7308.0,6667.0,10000.0,10809.0,12667.0,6636.0,7041.0,7826.0,7857.0,5133.0,5333.0,6853.0,7556.0,7432.0,6977.0,6987.0,6911.0,19.65908333333333,20.26016666666667,20.334416666666666,19.939999999999998,19.927999999999997,20.092,20.419416666666667,20.314000000000004,20.376250000000002,20.577,20.41125,20.370333333333335,20.84575,20.309416666666667,20.27958333333334,20.389583333333338,20.96975,20.638833333333334,20.010916666666667,20.409333333333336,20.238333333333333,20.568249999999995,20.483333333333334,20.538999999999998,20.824333333333332,20.395750000000003,20.784250000000004,20.8135,20.313999999999997,20.595833333333335,20.510333333333335,20.74983333333333,20.93133333333333,20.960416666666667,21.442166666666665,21.066333333333333,20.580916666666667,20.567916666666665,20.76425,21.06875,20.545916666666667,20.75425,20.86275
10,Belgium,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",162.2303063,753.7324344,619.4726094,643.8106406,843.3140781,763.1362891,844.1381875,1061.076,932.7482812999999,906.8078906,311.2671484,535.4222070000001,500.31804689999996,973.1117383,1209.848984,1034.624844,1014.620195,714.676582,717.3752266,520.5346093999999,812.9981406,861.1109531,619.4556719,2053.8114379999997,2364.151156,2628.282094,2596.656445,2460.675195,2114.3269530000002,2440.193359,3548.2689450000003,3478.896387,3573.2365229999996,3669.1732420000003,4259.128125,4820.067187,6267.43125,10676.797279999999,9849.073637000001,20736.53464,21937.68838,Total greenhouse gas emissions (kt of CO2 equivalent),166246.8134,172176.8142,172793.045,153063.539,162850.552,161725.79,166668.06699999998,176335.573,165433.833,153822.24,144653.937,135779.881,139848.697,137715.959,137673.745,136792.345,137543.014,137954.584,137872.522,142753.293,141130.179,138758.062,144398.146,146712.334,153314.451,149509.673,152174.811,147499.8,147051.2,144534.99800000002,138048.514,144031.572,141187.99300000002,136696.039,134802.749,131823.167,137213.867,131110.2895,138029.4109,137517.8679,133373.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.0,35000.0,30000.0,34574.0,32473.0,23908.0,27143.0,21944.0,30317.0,23906.0,28000.0,30693.0,27447.0,30159.0,9.831166666666666,9.333333333333334,9.758833333333332,10.072916666666668,10.071916666666668,10.368,9.961083333333333,9.23225,9.058583333333333,9.297333333333334,9.627083333333333,10.33,10.294500000000001,9.6495,8.795499999999999,9.264000000000001,9.0685,10.456999999999999,10.921166666666666,10.935333333333334,9.709166666666667,10.48925,9.925833333333333,10.996749999999999,10.696750000000002,8.893166666666668,10.472416666666666,10.369166666666667,10.93425,11.03425,10.543333333333335,11.035750000000002,10.87025,10.452583333333331,10.727833333333335,11.09525,11.1455,10.504916666666666,10.628499999999999,9.361749999999999,11.305333333333335,10.351833333333333,10.060125
